observer,sum,count
34687,3572,4
223005,2694,4
12809,2603,2
2991,2576,4
17796,2192,4
21786,2015,6
353381,1926,3
81779,1860,4
34038,1849,4
8778,1842,4
819,1777,4
3494,1767,4
220795,1727,4
179103,1722,4
7302,1692,4
16101,1672,3
421748,1587,4
1850,1470,4
3342,1414,3
154824,1408,2
46415,1398,3
74669,1397,4
2692,1354,4
23297,1352,4
3558,1331,4
35725,1295,3
209572,1273,4
38530,1246,4
9335,1191,4
152894,1098,4
15206,1058,3
617101,1027,3
80984,1004,4
94012,927,4
398213,899,4
28,896,3
29323,895,4
32603,880,4
36130,838,4
336699,811,4
13377,800,3
25480,798,4
1,792,4
134150,783,4
108264,779,3
242610,746,3
28037,745,4
13370,736,4
20270,722,4
427781,715,3
756324,711,2
427782,710,4
32763,700,3
235118,693,1
17695,688,3
4862,673,2
10814,665,4
481366,664,4
33520,663,4
100933,662,3
1179,652,4
133261,649,4
3809,635,4
9572,613,3
506327,611,3
29310,606,3
455833,604,2
164822,597,3
213330,595,4
496245,582,2
52839,568,3
279834,567,3
5327,547,4
450494,545,4
73705,544,4
182135,543,4
735311,535,3
39672,526,4
425620,509,4
681834,494,2
47230,487,4
138840,480,3
60643,477,4
88577,465,3
140881,455,4
37802,455,4
13979,450,2
201119,448,2
1488476,448,2
1653135,430,1
78845,427,2
314476,425,4
49977,418,3
477,409,4
725571,405,4
380284,403,4
204561,403,3
2179,397,1
110521,392,2
155444,391,4
20291,386,3
6743,383,3
17630,380,4
459300,379,2
15419,379,4
395294,377,4
35597,375,3
451386,373,1
220046,371,3
1163916,365,2
29735,363,4
145200,361,4
6971,361,2
210826,361,3
704502,350,4
294211,346,4
10999,337,2
219180,334,3
71944,331,2
1613571,329,1
147856,323,3
1496260,323,2
187268,322,3
548881,321,3
894051,320,3
919599,312,1
813284,311,1
386198,309,3
616107,305,3
213838,304,3
29074,302,3
38974,300,3
2782355,299,1
31034,297,4
923147,295,3
1502573,290,3
797207,285,1
828394,276,4
2726782,276,1
908569,275,3
76855,271,4
6930,269,4
757388,268,3
2527,268,3
29392,266,2
387325,265,1
61883,265,2
828443,265,3
444470,264,4
91922,264,2
379321,263,3
98101,260,1
453094,256,1
29066,254,2
938907,252,2
717163,248,1
1437570,244,2
1653354,244,2
146986,243,4
16743,242,4
181855,241,4
781146,241,3
19971,241,4
1667830,238,1
16404,238,3
1640555,235,2
794812,234,3
812002,234,3
643440,233,2
866528,228,3
1113207,228,3
1502858,228,2
35076,224,4
117921,223,2
2692697,223,1
1358449,219,1
216361,219,1
1624432,214,2
728009,212,3
916564,211,3
30502,211,2
203848,209,2
2083765,208,1
159021,205,3
54686,204,2
6333,204,2
516849,203,1
1537873,202,2
913001,202,1
441699,202,2
446984,201,3
73504,192,4
2856123,192,1
782447,191,2
12677,191,3
883351,191,3
455388,191,3
896378,191,3
370296,190,2
651288,190,2
96997,190,2
221979,189,2
767225,186,2
1657683,185,1
392423,185,3
3735,185,4
4857,183,1
146517,183,3
1653131,182,1
818059,176,3
2785970,176,1
1134714,176,2
10201,176,3
43687,175,2
4005,174,3
453495,170,2
1512775,170,1
913225,169,1
1625477,169,1
485655,169,2
65554,168,3
2987,167,1
118115,167,2
80445,167,4
1529544,166,1
4493,165,4
664459,163,2
660596,161,3
2835215,161,1
657180,161,3
1928,160,3
755392,158,2
278189,158,2
23091,157,3
209195,156,2
924523,154,2
416706,154,1
14331,152,3
1415559,151,2
452067,151,4
405746,151,2
796473,151,2
74597,151,3
18764,150,2
913281,148,3
44387,148,3
2580,147,4
254586,146,2
456528,146,1
1669295,146,1
16163,146,4
23556,145,2
90584,144,4
34112,144,3
2834108,144,1
508088,143,3
16460,143,4
142166,142,4
837644,142,2
79703,142,3
11882,141,1
890390,140,1
112125,140,2
9638,140,1
6316,139,2
402292,139,4
920112,138,1
293881,138,4
453687,137,3
7781,136,1
910,136,4
1666166,136,1
33066,135,1
205067,135,2
29219,135,1
424187,135,4
262841,134,3
900766,134,2
1423323,133,2
222037,133,2
121050,132,2
2829130,131,1
597060,131,2
1693484,131,1
5179,130,3
455115,130,1
2648590,130,1
793333,130,2
316492,130,3
239163,129,4
228243,129,3
3057,129,1
498,128,4
16131,128,3
749126,128,3
1664121,127,1
34099,127,2
1658224,127,1
1699469,126,1
2576141,126,1
218533,126,3
23696,125,2
375183,125,1
911337,125,1
1748559,125,1
798633,124,2
216899,123,3
1674700,123,1
218213,122,1
309263,121,1
1657945,120,1
679426,120,3
908366,120,3
26610,120,3
1458392,119,1
174075,119,2
2838930,119,1
1657743,119,1
12497,119,3
924092,118,1
71497,117,2
29864,117,2
8510,117,4
811841,117,2
24029,116,4
783022,116,3
1605981,115,2
1298821,115,2
340222,114,2
866260,114,3
2538950,114,1
246848,113,2
18790,113,3
2873,113,3
225912,113,1
1591079,112,2
40229,112,3
492765,112,1
137006,111,3
5420,110,2
839315,110,2
143793,109,4
27539,109,2
31570,109,1
423042,109,1
403949,108,4
8706,108,3
440904,108,3
749714,107,2
1521943,107,1
448988,107,3
8371,107,2
820350,106,1
547500,105,4
60484,105,1
181,105,3
364808,105,1
1676425,105,1
915251,105,3
17092,104,3
333666,104,4
716924,104,3
499995,104,2
1691285,104,1
81635,103,1
453215,103,2
1193914,103,1
501584,103,3
918287,102,1
2575248,102,1
2594511,102,1
216259,101,2
356291,101,3
214993,101,3
863340,100,1
1656262,100,1
1687187,99,1
2835206,99,1
454967,99,4
726143,99,3
1650700,99,1
116788,99,2
89029,98,3
2470671,98,1
53859,98,1
573906,98,3
923828,97,1
158791,97,4
74197,97,2
898798,97,2
623412,97,2
1366416,97,2
309476,97,3
205018,97,4
230072,97,2
66558,97,1
571354,97,1
455138,96,3
536,96,3
1227937,96,2
742133,96,1
140612,96,3
865767,96,1
449458,95,1
1258694,95,1
907908,94,2
48265,94,1
93594,94,2
93578,93,3
306396,93,4
31677,93,2
168351,93,2
142546,91,2
20125,91,2
1484414,91,1
20922,91,2
33605,91,1
863468,90,1
758265,90,1
462,90,1
1869651,90,2
78365,90,3
305051,90,1
867879,89,3
14818,89,2
817462,89,2
1245075,89,2
32761,88,2
27212,88,4
933769,88,1
2745908,88,1
221981,87,3
216610,87,1
1687905,87,2
1590670,86,1
146523,86,3
485443,86,3
2627688,86,1
183998,86,4
409074,86,1
922305,85,1
1449526,85,3
896325,85,2
1653142,85,1
449036,84,1
6755,84,3
1060689,83,1
2031494,83,1
280979,83,4
1479928,83,1
1046289,83,1
1576945,83,2
617098,83,1
1266422,82,1
453711,82,3
7757,82,2
426495,82,3
442417,82,1
456562,81,1
907645,81,1
2492,81,2
20267,81,2
923984,81,1
1514232,81,2
1645564,80,1
13425,80,2
54252,80,1
1160656,80,2
4508,80,2
32764,80,1
64372,79,3
793248,79,3
81911,79,2
275891,79,1
1665315,79,1
83520,78,3
916826,78,2
916262,78,2
258065,78,1
341141,78,2
16603,78,1
1671981,78,3
1679152,77,1
2844024,76,1
1603226,76,2
1666833,76,1
2834670,76,1
407448,76,4
1587086,76,1
1680928,76,1
450328,76,2
794826,76,1
41820,75,1
20685,75,2
1694024,75,1
795034,75,2
526666,74,1
1099426,74,2
403933,74,4
912561,73,1
210688,73,3
921828,73,3
416813,73,3
923786,73,1
822226,73,2
1484413,73,1
904823,73,3
1666106,73,2
770371,72,2
453052,72,1
911896,72,1
1213,72,4
1522152,72,2
1666862,72,1
80102,71,3
321586,71,1
455104,71,1
37319,71,2
15162,71,1
454320,71,1
1676042,71,1
38718,70,4
1658045,70,2
2843576,70,1
124683,70,1
32779,70,3
148357,70,1
922688,70,1
736127,70,3
331093,69,1
1694917,69,1
895905,69,1
822239,69,1
274326,69,1
330936,69,1
452943,69,1
206963,69,3
417079,69,1
129599,69,3
1670296,69,1
640907,68,1
349220,68,4
722953,68,1
117557,67,1
200077,67,4
30927,67,2
172345,67,2
405131,67,2
769865,67,1
153558,67,2
910492,67,1
759048,67,3
1084957,67,2
1647539,67,1
2832267,67,1
132118,66,2
28726,66,4
8094,66,1
35990,66,3
688240,66,1
38698,66,4
914582,66,2
454723,66,2
1677151,66,1
921393,66,1
850368,65,1
2101065,65,1
301665,65,2
919160,65,1
995608,65,3
540233,65,3
2808930,65,1
497764,65,2
914998,65,1
1474963,65,1
439185,65,4
1684269,65,2
273618,65,4
2850180,64,1
409663,64,2
194212,64,3
453351,64,1
1419820,64,2
1239300,64,2
408583,64,2
1681120,64,1
854590,64,1
141551,64,3
450142,64,2
707355,64,1
1668282,64,2
1636378,63,1
313888,63,1
851,63,2
1664705,63,1
473993,63,1
1647463,62,1
815057,62,2
44845,62,3
1084107,62,2
168642,62,1
858038,62,2
1310562,62,1
1650404,61,1
347228,61,2
217680,61,1
553424,61,2
560017,61,3
918011,61,1
356695,61,4
916606,61,1
153797,61,2
928945,60,1
30479,60,3
79222,60,2
896482,60,1
282384,60,1
1684255,60,1
911159,60,1
234347,60,1
1085700,60,1
914722,60,1
378444,60,1
452966,60,2
2783552,59,1
22798,59,2
908161,59,1
1564574,59,1
1627468,59,1
45434,59,1
2442028,58,2
174061,58,3
1484420,58,1
3290,58,2
1668529,58,1
1028060,58,2
1332368,58,1
1010939,58,1
254581,58,3
1484404,58,1
2838078,58,1
601946,57,2
439802,57,1
205708,57,1
910920,57,1
113600,57,3
786521,57,2
332596,57,1
477192,57,2
1664648,57,1
949072,57,1
1664649,57,1
250046,57,3
1629319,56,1
670162,56,3
449189,56,2
16988,56,2
1605772,56,1
1484394,56,1
922344,56,1
452096,56,1
964716,56,1
1691572,55,1
2828290,55,2
1467957,55,4
2594107,55,1
77126,55,4
781404,55,1
748117,55,1
457137,55,3
390160,55,2
673365,55,2
2628831,55,1
505,55,3
115788,55,3
201407,55,3
14771,55,3
912930,55,1
1635826,55,2
640,55,1
1650058,54,1
1676421,54,1
2534437,54,1
108876,54,3
27908,54,2
2833288,54,1
1244361,54,2
166257,54,2
1680500,54,1
889967,54,2
1426863,54,1
910376,54,1
916269,54,1
1664675,54,1
415725,54,2
1684510,53,1
1637699,53,1
405804,53,1
422838,53,2
975206,53,1
178182,53,1
1691084,53,1
914181,53,1
4259,53,3
22513,53,4
123490,53,3
911227,53,2
260776,52,3
328713,52,3
272203,52,1
171266,52,2
828680,52,2
420241,52,3
445713,52,1
1672731,52,1
896387,52,1
2788364,51,1
911350,51,1
917667,51,1
240260,51,1
841760,51,2
824691,51,3
171199,51,1
126823,51,1
1345264,51,1
222615,51,2
42794,51,4
162651,51,2
841766,51,3
384080,51,3
2838326,50,1
1516363,50,1
819792,50,2
247291,50,2
1677756,50,1
1656289,50,1
758998,50,3
2832198,50,1
917632,50,1
1609844,50,1
1484425,50,1
1647110,50,2
885619,50,3
757358,50,1
1353294,50,2
17289,50,1
2834191,50,1
15764,50,3
1484426,50,1
914339,49,1
1672623,49,1
215669,49,1
1673768,49,1
1658313,49,1
1559025,49,2
170354,49,4
452056,49,1
1678955,49,4
70362,49,2
718846,49,3
3223,48,1
792636,48,2
2514551,48,1
1625655,48,1
785163,48,2
209170,48,2
918971,48,2
1657702,48,1
1367814,48,1
744235,48,1
2615045,48,1
2587636,48,1
922526,48,2
2714907,48,1
1664702,48,1
924612,48,1
265595,48,2
1660358,48,1
1654074,48,1
907355,47,2
456657,47,4
447863,47,1
1907,47,1
1696420,47,1
906473,47,1
532567,47,3
848191,47,1
1807929,47,1
2124550,47,1
